Timestamp;Value
2020-06-22;17.4180
2020-06-19;17.4110
2020-06-18;17.2330
2020-06-17;17.1313
2020-06-15;17.2408
2020-06-12;17.0858
2020-06-11;16.6296
2020-06-10;16.5799
2020-06-09;16.8820
2020-06-08;16.7474
2020-06-05;16.8481
2020-06-04;17.0257
2020-06-03;17.0333
2020-06-02;17.3131
2020-06-01;17.4901
2020-05-29;17.5479
2020-05-28;17.4648
2020-05-27;17.4744
2020-05-26;17.4267
2020-05-25;17.6405
2020-05-22;17.8171
2020-05-21;17.9426
2020-05-20;18.1355
2020-05-19;18.2914
2020-05-18;18.4810
2020-05-15;18.5111
2020-05-14;18.5730
2020-05-13;18.4124
2020-05-12;18.4294
2020-05-11;18.3212
2020-05-08;18.4869
2020-05-07;18.5817
2020-05-06;18.4852
2020-05-05;18.2800
2020-05-04;18.7516
2020-04-30;18.0589
2020-04-29;18.4869
2020-04-28;18.6678
2020-04-24;19.0722
2020-04-23;19.0243
2020-04-22;18.8829
2020-04-21;19.0549
2020-04-20;18.9305
2020-04-17;18.8159
2020-04-16;18.5972
2020-04-15;18.6243
2020-04-14;18.0303
2020-04-09;18.0868
2020-04-08;18.4033
2020-04-07;18.3207
2020-04-06;19.0768
2020-04-03;18.7096
2020-04-02;18.2113
2020-04-01;18.0283
2020-03-31;17.9822
2020-03-30;17.8226
2020-03-27;17.5046
2020-03-26;17.4915
2020-03-25;17.3437
2020-03-24;17.7233
2020-03-23;17.8108
2020-03-20;17.1939
2020-03-19;17.3757
2020-03-18;16.7717
2020-03-17;16.5498
2020-03-16;16.6289
2020-03-13;16.3201
2020-03-12;16.4264
2020-03-11;16.0714
2020-03-10;15.9082
2020-03-09;16.1815
2020-03-06;15.5874
2020-03-05;15.3336
2020-03-04;15.3659
2020-03-03;15.5337
2020-03-02;15.5255
2020-02-28;15.6171
2020-02-27;15.2974
2020-02-26;15.2421
2020-02-25;15.0972
2020-02-24;15.1622
2020-02-21;15.1746
2020-02-20;15.1279
2020-02-19;14.9530
2020-02-18;15.0430
2020-02-17;14.8726
2020-02-14;14.8601
2020-02-13;14.9328
2020-02-12;14.7639
2020-02-11;14.8940
2020-02-10;15.0239
2020-02-07;14.9915
2020-02-06;14.7652
2020-02-05;14.7974
2020-02-04;14.7731
2020-02-03;14.9742
2020-01-31;14.8455
2020-01-30;14.6841
2020-01-29;14.5661
2020-01-28;14.6031
2020-01-27;14.5207
2020-01-24;14.3595
2020-01-23;14.3017
2020-01-22;14.4858
2020-01-21;14.5690
2020-01-20;14.5289
2020-01-17;14.3698
2020-01-16;14.3822
2020-01-15;14.4073
2020-01-14;14.4688
2020-01-13;14.3475
2020-01-10;14.2363
2020-01-09;14.1313
2020-01-08;14.2698
2020-01-07;14.1799
2020-01-06;14.3193
2020-01-03;14.2243
2020-01-02;13.9923
2019-12-31;14.0418
2019-12-30;13.9709
2019-12-27;14.1058
2019-12-24;14.2009
2019-12-23;14.2591
2019-12-20;14.2105
2019-12-19;14.3126
2019-12-18;14.4242
2019-12-17;14.4840
2019-12-13;14.5008
2019-12-12;14.6747
2019-12-11;14.7509
2019-12-10;14.6624
2019-12-09;14.6524
2019-12-06;14.6419
2019-12-05;14.5918
2019-12-04;14.6129
2019-12-03;14.5691
2019-12-02;14.6861
2019-11-29;14.6955
2019-11-28;14.7837
2019-11-27;14.7620
2019-11-26;14.8174
2019-11-25;14.6994
2019-11-22;14.5949
2019-11-21;14.7526
2019-11-20;14.8254
2019-11-19;14.7539
2019-11-18;14.7425
2019-11-15;14.7850
2019-11-14;14.9450
2019-11-13;14.9449
2019-11-12;14.8794
2019-11-11;14.9281
2019-11-08;14.7749
2019-11-07;14.7737
2019-11-06;14.7845
2019-11-05;14.7391
2019-11-04;14.8356
2019-11-01;15.0719
2019-10-31;15.0823
2019-10-30;14.6283
2019-10-29;14.5509
2019-10-28;14.5531
2019-10-25;14.6299
2019-10-24;14.6354
2019-10-23;14.6475
2019-10-22;14.7396
2019-10-21;14.7532
2019-10-18;14.7875
2019-10-17;14.8467
2019-10-16;15.0037
2019-10-15;14.8059
2019-10-14;14.8136
2019-10-11;14.9319
2019-10-10;15.1102
2019-10-09;15.2138
2019-10-08;15.1579
2019-10-07;15.1291
2019-10-04;15.1643
2019-10-03;15.1585
2019-10-02;15.3802
2019-10-01;15.2187
2019-09-30;15.1971
2019-09-27;15.0710
2019-09-26;15.0776
2019-09-25;14.9890
2019-09-23;14.9592
2019-09-20;14.7992
2019-09-19;14.6649
2019-09-18;14.6349
2019-09-17;14.7536
2019-09-16;14.6588
2019-09-13;14.5560
2019-09-12;14.6038
2019-09-11;14.7060
2019-09-10;14.7249
2019-09-09;14.7774
2019-09-06;14.7806
2019-09-05;14.7532
2019-09-04;14.9383
2019-09-03;15.2256
2019-09-02;15.1542
2019-08-30;15.2324
2019-08-29;15.3438
2019-08-28;15.2839
2019-08-27;15.3210
2019-08-26;15.2849
2019-08-23;15.1411
2019-08-22;15.2261
2019-08-21;15.2346
2019-08-20;15.3949
2019-08-19;15.3793
2019-08-16;15.1825
2019-08-15;15.2838
2019-08-14;15.1626
2019-08-13;15.3524
2019-08-12;15.4120
2019-08-08;15.0611
2019-08-07;14.8924
2019-08-06;14.7886
2019-08-05;14.9185
2019-08-02;14.7089
2019-08-01;14.4699
2019-07-31;14.1784
2019-07-30;14.2011
2019-07-29;14.2762
2019-07-26;14.1524
2019-07-25;13.9542
2019-07-24;13.9326
2019-07-23;13.8933
2019-07-22;13.9225
2019-07-19;13.8574
2019-07-18;13.9938
2019-07-17;13.9769
2019-07-16;13.8849
2019-07-15;13.8938
2019-07-12;13.9174
2019-07-11;13.9502
2019-07-10;14.1986
2019-07-09;14.2060
2019-07-08;14.1829
2019-07-05;14.0877
2019-07-04;13.9942
2019-07-03;14.1303
2019-07-02;14.2069
2019-07-01;14.1074
2019-06-28;14.1487
2019-06-27;14.1846
2019-06-26;14.3285
2019-06-25;14.3015
2019-06-24;14.2710
2019-06-21;14.4013
2019-06-20;14.2252
2019-06-19;14.5187
2019-06-18;14.6827
2019-06-14;14.8474
2019-06-13;14.8449
2019-06-12;14.7488
2019-06-11;14.7474
2019-06-10;14.8669
2019-06-07;15.1165
2019-06-06;14.8874
2019-06-05;14.7427
2019-06-04;14.4255
2019-06-03;14.5738
2019-05-31;14.7581
2019-05-30;14.6307
2019-05-29;14.8641
2019-05-28;14.5746
2019-05-27;14.4258
2019-05-24;14.4264
2019-05-23;14.4599
2019-05-22;14.3649
2019-05-21;14.4655
2019-05-20;14.3674
2019-05-17;14.3363
2019-05-16;14.2010
2019-05-15;14.2384
2019-05-14;14.2540
2019-05-13;14.2849
2019-05-10;14.2549
2019-05-09;14.3995
2019-05-07;14.4626
2019-05-06;14.4702
2019-05-03;14.5492
2019-05-02;14.4268
2019-04-30;14.3319
2019-04-29;14.3278
2019-04-26;14.3816
2019-04-25;14.4946
2019-04-24;14.3474
2019-04-23;14.2165
2019-04-18;14.0699
2019-04-17;13.9475
2019-04-16;14.0435
2019-04-15;13.9349
2019-04-12;13.9581
2019-04-11;13.9210
2019-04-10;14.0288
2019-04-09;14.0610
2019-04-08;14.1405
2019-04-05;14.1024
2019-04-04;14.1910
2019-04-03;14.1396
2019-04-02;14.2112
2019-04-01;14.2747
2019-03-29;14.5968
2019-03-28;14.6804
2019-03-27;14.4669
2019-03-26;14.3838
2019-03-25;14.4810
2019-03-22;14.3451
2019-03-20;14.4850
2019-03-19;14.4188
2019-03-18;14.4311
2019-03-15;14.4415
2019-03-14;14.4460
2019-03-13;14.3633
2019-03-12;14.2649
2019-03-11;14.3446
2019-03-08;14.5496
2019-03-07;14.2824
2019-03-06;14.1935
2019-03-05;14.1902
2019-03-04;14.2190
2019-03-01;14.1054
2019-02-28;13.9532
2019-02-27;13.8394
2019-02-26;13.8585
2019-02-25;13.8482
2019-02-22;13.9843
2019-02-21;13.9085
2019-02-20;14.1018
2019-02-19;14.1699
2019-02-18;14.1031
2019-02-15;14.1863
2019-02-14;14.1574
2019-02-13;13.7560
2019-02-12;13.7721
2019-02-11;13.6242
